name,characters
box_204,"['adidas', 'performance', 'us', 'crazy', '97', 'work', 'gwt', 'can', 'new', 'cause', 'nownoss', '109', '99', 'q13087']"
box_205,"['sedre', 'annoracwats', 'and', '00', 's150', 'se', 'stan', 'smith', 'cm8000', '8', '411', '255', '260']"
box_206,"['adidas', 'ultra', 'boost', 'bape', 'gsa7sa', '15', 'into', '8', '411', '71', 'more']"
box_207,"['adidas', '4167412', '702', 'support', 'adv', 'eqt', 'us', 'bb1307', 'aucorrenouncion', 's', '110', '00', 'ancompancation', '11', 'pencawes', '011211110b', 'outswort', 'work', '451', '101']"
box_208,"['nmd', 'r1', 'bb1968', '7', '40', '6t', 'oncive', 'oncruss', 'pownations']"
box_209,"['adidas', '00078', '8', 'have', 'slam', '1993', '3st', '002', 'bape', 'a', 'out', 'nuncolmunate', 'ubjoos', 'da3003', '10', '44', '91', '280', '270']"
box_210,"['adidas', 'cg3003', 'style', '123', 'dept', 'blk', 'ultraboost', 'all', 'ltd', 'cg3003', 'terrain', 'us', 'inside', '00', 's240', 'cossess', '10', '44', '91', 'kundown', 'courgeable', 'occuratule']"
box_211,"['january', 'adidas', 'g54784', 'bape', 'boost', 'ultra', '11', '111', '46', '11', 'on', '285', '295', 'courseapied', 'university']"
box_212,"['eqt', 'support', 'ultra', 'pk', 's76777', 'stonestonestone', 'pleare', 'pierrepierre', '81', 'originals', 'originals', 'us', 'poster', 'bon', 'now', 'now', 'more', '42', '8', 'ameout', 'a', 'now', 'ussang', 'any']"
box_213,"['adidas', 'iniki', 'runner', 'b82092', '14', '491', '131', 'wrob', 'originals', 'originals', 'companall', 'and', 'to']"
box_214,"['adidas', 'strew', 'ultra', 'boost', 'm', '10', '44', '91', 'aven', 'conse']"
box_215,"['139477', '709', 'xr1', 'nmd', 'us', 'by9922', 's', '150', '00', 'flast', 'franstitions', '9', 'ax11001410', 'eniginals', 'ux', '424', '81']"
box_216,"['adidas', 's77417', 'm', 'boost', 'ultra', '601', '42', '07677', '9', '04', '101', '10', '441', 'ruminocourse', 'running', 'and', 'compandon']"
box_217,"['guides', 'r1', 'bb2886', 'nmd', 'us', '10', 'f', 'uk', '8', '0', '89136', '95366', '44', '91', 'originals', 'upc', 'pos', 'originals', '116248250', 'compatible', 'made', 'in', 'vietnam', 'fabrique', 'au', 'vietnam', 'absedonusionance']"
box_218,"['ultra', 'pk', 'support', 'eqt', 'us', 's76777', '91', 'pierre', 'statementalists', '9', '43j', 'originals', 'on', 'now', 'not', 'a', 'propulinous', '265', '275']"
box_219,"['adidas', 'support', 'adv', 'eqt', 'us', 'bb2791', 'comminting', 'blacryftibulaturbo', '12', 'originals', 'originals', 'jux', 'won', 'on', 'pau', 'un', 'for', 'mania', '467', '114', 'tamasque', 'by', 'and', 'misroassorian']"
box_220,"['adidas', 'g547sa', 'bape', 'boost', 'ultra', '6', '51', '381']"
box_221,"['adidas', 'ultra', 'boost', 'bape', 'g54784', 'jot', '10', '44i', '10', '285', '275', 'running', 'course', 'apsed']"
size_282,"['china', 'in', 'made', 'chn', 'jp', 'fr', 'uk', 'us', '285', '295', '46', '11', '113', '01119', 'yya', '606001', 'g54784', 'art', 'h1221754', 'f56thsses', 'odidas']"
size_283,"['made', 'us', 'in', 'uk', 'china', '84', '8', 'fr', 'ape', '779001', 'jp', '12', 'chn', '265', 'mal', '260', 'art', 'e', 'stg', 'a', 'may', 'the']"
size_284,"['made', 'in', 'china', 'fr', 'uk', 'us', 'jpchn', '9', '9x', '43x', '275', '286', 'malemale', 'clu', '800001', '10113', 'art', 'g98310', 'hi08680579', 'adidac', 'disiddeconding']"
size_285,"['made', 'in', 'vietnam', 'us', 'uk', 'fr', 'jp', 'chn', '14', '135', '49x', '320', '305', 'shw', '675001', '10j16', 'to', 'malemale', 'art', 'bb2092', 'h116172953', 'adidas', 'idwszorsoning']"
size_286,"['made', 'us', 'in', 'vietnam', 'uk', '9', 'lhg', 'fr', 'any', 'jp', 'chn', 'the', 'maleimale', '270', '265', '12716', 'adidas', 'art', 'bb2885', 'h116380131', 'infrovibouts']"
size_287,"['made', 'usiully', 'male', 'i', 'i']"
size_288,"['made', 'in', 'vietnam', 'fr', 'jpchn', 'uk', 'us', '285', '295', '46', '11', '11x', 'maleimale', '06m16', '875001', 'shw', 'now', 'artbbig67', 'in', 'i', 'hi14801846', 'idas', '3datzlife0028']"
size_289,"['made', 'in', 'china', 'us', 'uk', 'fr', 'jpchn', '10x', '10', '4xx', '275', 'maleimale', 'yya', '606001', '10m1', 'any', 's77417', 'art', 'h113624203', 'adidas', 'viapozot01116', 'i']"
size_290,"['made', 'uk', 'us', '285', '8', '240', 'male', 'male', '10415', '808001', 'you', 'a', '3774', 'art', 'i', 'and', 'hi1302420b', 'vjappodro', 'adidas']"
size_291,"['a', 'made', 'in', 'vietnam', 'us', 'uk', 'fr', 'jp', 'chn', '10', '93', '44', '280', '270', 'lag', '029003', '12j', '16', 'maleimale', 'art', '882886', '1162482250', 'ordool', 'inforcobizes']"
size_292,"['india', 'in', 'jpchn', 'made', '245', '255', 'ukfr', '40', 'us', '63', '03m6', '011001', 'apc', 'artm20605', 'hi114431911', 'nnizawbroobs', 'bs']"
size_293,"['made', 'in', 'vietnam', 'fr', 'uk', 'jp', 'us', 'chn', '9', '84', '42x', '270', '265', 'pyv', '702001', '11116', 'malemale', 'art', 'cg2917', 'h116351204', 'adidas', 'jvantibigabia']"
size_294,"['popino', 'restating', 'an', 'assos', '4v', 'al', 'a']"
size_295,"['vv', 'made', 'in', 'uk', 'us', 'chings', 'fr', '93', '43', '275', '265', 'ape', '779001', 'mai']"
size_296,"['made', '113', '200', 'a', 'cosstrop', '12', 'to', 'be', 'mai', 'i', 'mai', 'i', 'art', 'bb2', '191', '44', 'auldoo', 'shermon']"
size_297,"['boost', 'in', 'made', 'china', 'chn', 'us', 'uk', 'fr', 'jp', '6', '240', '235', '5k', '38x', 'yya', '606001', '12718', 'malemale', 'g54784', 'art', '1810', 'h12152', 'exxemonsess', 'odidad', 'of']"
size_298,"['in', 'made', 'china', 'uk', 'us', 'fr', 'jpphn', '9x', '9', '43x', '275', '265', 'maleimale', 'clu', '07h13', 'down', '600001', 'art', 'q33087', 'x', 'h108147225', 'adidas', 'didofdyzdood2']"
size_299,"['made', 'in', 'china', 'us', 'uk', 'fr', 'jp', '10x', 'chn', '10', '44', 'yya', '285', '275', '606001', '01119', 'art', 'g54784', 'h1221754', 'a', 'adidas', 'fsopifslooks', 'and', 'the']"
